instance_id,volume_usdt
bcecbc5a58f42398ea6a30b0db9f6eb1e9d1ef13,43041229.138795
cd8e0937899701f5764d4fdd310764c9fbf943c4,42840588.929667
657161332cb5f28f12d558756f2716423f87a368,42440061.807380
bbe0f24bf5fd45c782f213477283b7b7b3419b37,42335430.871116
ab2ac7029a71d9228bd3c9698cdbfda72beaf7b2,41943567.128067
3ba48afa8b8d23a2dd8cde693747d68a9e28c5b4,41619849.852740
f651d780d18cdb84141641a9ef9ce4df542df65a,40648526.766570
eth202510250759-20251025-0000,39912567.163390
255750be181a2876833550af40e241c387bc01aa,39831981.779826
9a0d771ea5ac448a24657249645e4166cba7be36,39062408.650925
921ce9777fa73ca57333f4adaf635c83daa20db1,38857509.935719
92bc8f084f82c5bd4fed1f75006cb6fa14f6f152,38593946.502597
c2ae693f5d3d7c449312458b1f01c912a55af52e,38235313.987080
instance-045,38228730.116775
39069bada821cce92e7b3455301852213dcc0f85,38124859.725953
56f20459017b45dcb279f34cd4a19bbead378522,37957403.537217
(others),9092333813.380816
